Computer,350,10:00,16:30,01-01-2022,2.28
Air Conditioner,700,21:00,23:59,01-01-2022,2.09
Fan,65,10:00,21:00,01-01-2022,0.72
WaterHeater,4500,18:00,18:15,01-01-2022,1.13
TV,100,18:15,20:45,01-01-2022,0.25
RiceCooker,750,8:00,10:00,01-01-2022,1.5
RiceCooker,750,16:30,18:30,01-01-2022,1.5
Washing Machine,3000,9:00,10:10,01-01-2022,3.5
VacuumCleaner,750,9:15,10:00,01-01-2022,0.56
Air Conditioner,700,0:00,6:00,02-01-2022,4.2
Computer,350,10:00,16:30,02-01-2022,2.28
Air Conditioner,700,21:00,23:59,02-01-2022,2.09
Fan,65,10:00,21:00,02-01-2022,0.72
WaterHeater,4500,18:00,18:15,02-01-2022,1.13
TV,100,18:15,20:45,02-01-2022,0.25
RiceCooker,750,8:00,10:00,02-01-2022,1.5
RiceCooker,750,16:30,18:30,02-01-2022,1.5
Washing Machine,3000,9:00,10:10,02-01-2022,3.5
VacuumCleaner,750,9:15,10:00,02-01-2022,0.56
Air Conditioner,700,0:00,6:00,03-01-2022,4.2
Computer,350,10:00,16:30,03-01-2022,2.28
Air Conditioner,700,21:00,23:59,03-01-2022,2.09
Fan,65,10:00,21:00,03-01-2022,0.72
WaterHeater,4500,18:00,18:15,03-01-2022,1.13
TV,100,18:15,20:45,03-01-2022,0.25
RiceCooker,750,8:00,10:00,03-01-2022,1.5
RiceCooker,750,16:30,18:30,03-01-2022,1.5
Washing Machine,3000,9:00,10:10,03-01-2022,3.5
VacuumCleaner,750,9:15,10:00,03-01-2022,0.56
Air Conditioner,700,0:00,6:00,04-01-2022,4.2
Computer,350,10:00,16:30,04-01-2022,2.28
Air Conditioner,700,21:00,23:59,04-01-2022,2.09
Fan,65,10:00,21:00,04-01-2022,0.72
WaterHeater,4500,18:00,18:15,04-01-2022,1.13
TV,100,18:15,20:45,04-01-2022,0.25
RiceCooker,750,8:00,10:00,04-01-2022,1.5
RiceCooker,750,16:30,18:30,04-01-2022,1.5
Washing Machine,3000,9:00,10:10,04-01-2022,3.5
VacuumCleaner,750,9:15,10:00,04-01-2022,0.56
Air Conditioner,700,0:00,6:00,05-01-2022,4.2
Computer,350,10:00,16:30,05-01-2022,2.28
Air Conditioner,700,21:00,23:59,05-01-2022,2.09
Fan,65,10:00,21:00,05-01-2022,0.72
WaterHeater,4500,18:00,18:15,05-01-2022,1.13
TV,100,18:15,20:45,05-01-2022,0.25
RiceCooker,750,8:00,10:00,05-01-2022,1.5
RiceCooker,750,16:30,18:30,05-01-2022,1.5
Washing Machine,3000,9:00,10:10,05-01-2022,3.5
VacuumCleaner,750,9:15,10:00,05-01-2022,0.56
Air Conditioner,700,0:00,6:00,06-01-2022,4.2
Computer,350,10:00,16:30,06-01-2022,2.28
Air Conditioner,700,21:00,23:59,06-01-2022,2.09
Fan,65,10:00,21:00,06-01-2022,0.72
WaterHeater,4500,18:00,18:15,06-01-2022,1.13
TV,100,18:15,20:45,06-01-2022,0.25
RiceCooker,750,8:00,10:00,06-01-2022,1.5
RiceCooker,750,16:30,18:30,06-01-2022,1.5
Washing Machine,3000,9:00,10:10,06-01-2022,3.5
VacuumCleaner,750,9:15,10:00,06-01-2022,0.56
Air Conditioner,700,0:00,6:00,07-01-2022,4.2
Computer,350,10:00,16:30,07-01-2022,2.28
Air Conditioner,700,21:00,23:59,07-01-2022,2.09
Fan,65,10:00,21:00,07-01-2022,0.72
WaterHeater,4500,18:00,18:15,07-01-2022,1.13
TV,100,18:15,20:45,07-01-2022,0.25
RiceCooker,750,8:00,10:00,07-01-2022,1.5
RiceCooker,750,16:30,18:30,07-01-2022,1.5
Washing Machine,3000,9:00,10:10,07-01-2022,3.5
VacuumCleaner,750,9:15,10:00,07-01-2022,0.56
Example,30000,0:00,10:00,08-01-2022,300.0
Example,45152,0:00,10:00,01-02-2022,421.52
Example,43275,0:00,10:00,01-03-2022,440.75
Example,46896,0:00,10:00,01-04-2022,468.96
Example,46564,0:00,10:00,01-05-2022,465.64
Example,43329,0:00,10:00,01-06-2022,433.29
Example,43274,0:00,10:00,01-07-2022,421.74
Example,43578,0:00,10:00,01-08-2022,415.78
Example,43488,0:00,10:00,01-09-2022,414.88
Example,42756,0:00,10:00,01-10-2022,410.56
computer,250,8:00,20:00,01-11-2022,3.0
computer,250,8:00,20:00,02-11-2022,3.0
computer,250,8:00,20:00,03-11-2022,3.0
computer,250,8:00,16:00,04-11-2022,2.0
computer,250,8:00,16:00,05-11-2022,2.0
computer,250,8:00,19:00,05-11-2022,2.75
